model,projection,sequence,cp,m,n,k,p50_ms,p95_ms,pflops_per_gpu,algorithm,run_id
qwen3_235b,o,524288,4,131072,4096,8192,5.934639930725098,5.999384045600891,1.4821611967844002,66,20260908-135227-2a9f00
qwen3_235b,o,524288,8,65536,4096,8192,3.0799520015716553,3.1090047717094422,1.427959432114442,66,20260908-135227-2a9f00
bloom_176b,qkv_native_packed,65536,4,16384,43008,14336,13.796784400939941,13.878531360626221,1.4643648529441093,66,20260908-135227-2a9f00
bloom_176b,qkv_native_packed,65536,8,8192,43008,14336,6.818064212799072,6.8513761281967165,1.4816174745360524,66,20260908-135227-2a9f00
bloom_176b,qkv_native_packed,131072,4,32768,43008,14336,27.631759643554688,27.999477577209472,1.4623409019914968,66,20260908-135227-2a9f00
bloom_176b,qkv_native_packed,131072,8,16384,43008,14336,13.796784400939941,13.878531360626221,1.4643648529441093,66,20260908-135227-2a9f00
bloom_176b,qkv_native_packed,262144,4,65536,43008,14336,55.94649696350098,56.63342418670654,1.4444890927533576,66,20260908-135227-2a9f00
bloom_176b,qkv_native_packed,262144,8,32768,43008,14336,27.631759643554688,27.999477577209472,1.4623409019914968,66,20260908-135227-2a9f00
bloom_176b,qkv_native_packed,524288,4,131072,43008,14336,112.35185241699219,113.44730186462402,1.4385896254134856,66,20260908-135227-2a9f00
bloom_176b,qkv_native_packed,524288,8,65536,43008,14336,55.94649696350098,56.63342418670654,1.4444890927533576,66,20260908-135227-2a9f00
bloom_176b,o,65536,4,16384,14336,14336,4.516767978668213,4.588707137107849,1.4910016967738282,66,20260908-135227-2a9f00
bloom_176b,o,65536,8,8192,14336,14336,2.291216015815735,2.3184480905532836,1.4696363576461673,66,20260908-135227-2a9f00
bloom_176b,o,131072,4,32768,14336,14336,9.046895980834961,9.101214456558228,1.4887998567452203,66,20260908-135227-2a9f00
bloom_176b,o,131072,8,16384,14336,14336,4.516767978668213,4.588707137107849,1.4910016967738282,66,20260908-135227-2a9f00
bloom_176b,o,262144,4,65536,14336,14336,18.284992218017578,18.383468055725096,1.4732319576252226,66,20260908-135227-2a9f00
bloom_176b,o,262144,8,32768,14336,14336,9.046895980834961,9.101214456558228,1.4887998567452203,66,20260908-135227-2a9f00
bloom_176b,o,524288,4,131072,14336,14336,36.78544044494629,37.32673873901367,1.4646030904986944,66,20260908-135227-2a9f00
bloom_176b,o,524288,8,65536,14336,14336,18.284992218017578,18.383468055725096,1.4732319576252226,66,20260908-135227-2a9f00
deepseek_v3,mla_input_packed,65536,4,16384,2112,7168,0.3859519958496094,0.39203839004039764,1.2853119766772727,66,20260908-140154-d4d2b3
deepseek_v3,mla_input_packed,65536,8,8192,2112,7168,0.19563200324773788,0.19792960211634636,1.267861889804924,66,20260908-140154-d4d2b3
deepseek_v3,mla_input_packed,131072,4,32768,2112,7168,0.7411039769649506,0.7513455867767334,1.338729080147578,66,20260908-140154-d4d2b3
deepseek_v3,mla_input_packed,131072,8,16384,2112,7168,0.3859519958496094,0.39203839004039764,1.2853119766772727,66,20260908-140154-d4d2b3
deepseek_v3,mla_input_packed,262144,4,65536,2112,7168,1.4369439482688904,1.4496528029441833,1.380899298920106,66,20260908-140154-d4d2b3
deepseek_v3,mla_input_packed,262144,8,32768,2112,7168,0.7411039769649506,0.7513455867767334,1.338729080147578,66,20260908-140154-d4d2b3
deepseek_v3,mla_input_packed,524288,4,131072,2112,7168,3.0351680517196655,3.074235200881958,1.3075222570478426,66,20260908-140154-d4d2b3
deepseek_v3,mla_input_packed,524288,8,65536,2112,7168,1.4369439482688904,1.4496528029441833,1.380899298920106,66,20260908-140154-d4d2b3
deepseek_v3,mla_q_b,65536,4,16384,24576,1536,0.8731359839439392,0.8795568019151687,1.4166757572637392,66,20260908-110831-0ab56f
deepseek_v3,mla_q_b,65536,8,8192,24576,1536,0.4557119905948639,0.4605391934514046,1.3571626452415109,66,20260908-110831-0ab56f
deepseek_v3,mla_q_b,131072,4,32768,24576,1536,1.7168320417404175,1.7305568277835846,1.4409686575910552,66,20260908-110831-0ab56f
deepseek_v3,mla_q_b,131072,8,16384,24576,1536,0.8731359839439392,0.8795568019151687,1.4166757572637392,66,20260908-110831-0ab56f
deepseek_v3,mla_q_b,262144,4,65536,24576,1536,3.467471957206726,3.4802752137184143,1.426919203977579,66,20260908-110831-0ab56f
deepseek_v3,mla_q_b,262144,8,32768,24576,1536,1.7168320417404175,1.7305568277835846,1.4409686575910552,66,20260908-110831-0ab56f
deepseek_v3,mla_q_b,524288,4,131072,24576,1536,6.997120141983032,7.048433709144592,1.414239637048667,66,20260908-110831-0ab56f
deepseek_v3,mla_q_b,524288,8,65536,24576,1536,3.467471957206726,3.4802752137184143,1.426919203977579,66,20260908-110831-0ab56f
deepseek_v3,mla_kv_b,65536,4,16384,32768,512,0.4591359943151474,0.461940798163414,1.1973703231610542,66,20260908-110831-0ab56f
deepseek_v3,mla_kv_b,65536,8,8192,32768,512,0.24451199918985367,0.24624640494585037,1.124189846939039,66,20260908-110831-0ab56f
deepseek_v3,mla_kv_b,131072,4,32768,32768,512,0.9204480051994324,0.9348784059286117,1.1945396389204734,66,20260908-110831-0ab56f
deepseek_v3,mla_kv_b,131072,8,16384,32768,512,0.4591359943151474,0.461940798163414,1.1973703231610542,66,20260908-110831-0ab56f
deepseek_v3,mla_kv_b,262144,4,65536,32768,512,1.8221279978752136,1.831430435180664,1.2068434589207149,66,20260908-110831-0ab56f
deepseek_v3,mla_kv_b,262144,8,32768,32768,512,0.9204480051994324,0.9348784059286117,1.1945396389204734,66,20260908-110831-0ab56f
deepseek_v3,mla_kv_b,524288,4,131072,32768,512,3.636623978614807,3.6555535316467287,1.2093762063294813,66,20260908-110831-0ab56f
deepseek_v3,mla_kv_b,524288,8,65536,32768,512,1.8221279978752136,1.831430435180664,1.2068434589207149,66,20260908-110831-0ab56f
deepseek_v3,mla_o,65536,4,16384,7168,16384,2.672368049621582,2.6923360347747805,1.4400302000919871,66,20260908-110831-0ab56f
deepseek_v3,mla_o,65536,8,8192,7168,16384,1.4344800114631653,1.449640017747879,1.341353893558529,66,20260908-110831-0ab56f
deepseek_v3,mla_o,131072,4,32768,7168,16384,5.209856033325195,5.265276718139648,1.4773117232415443,66,20260908-110831-0ab56f
deepseek_v3,mla_o,131072,8,16384,7168,16384,2.672368049621582,2.6923360347747805,1.4400302000919871,66,20260908-110831-0ab56f
deepseek_v3,mla_o,262144,4,65536,7168,16384,10.389951705932617,10.457391929626464,1.48154324721977,66,20260908-110831-0ab56f
deepseek_v3,mla_o,262144,8,32768,7168,16384,5.209856033325195,5.265276718139648,1.4773117232415443,66,20260908-110831-0ab56f
deepseek_v3,mla_o,524288,4,131072,7168,16384,20.948671340942383,21.20174112319946,1.469607550601969,66,20260908-110831-0ab56f
deepseek_v3,mla_o,524288,8,65536,7168,16384,10.389951705932617,10.457391929626464,1.48154324721977,66,20260908-110831-0ab56f
kimi_k3,kda_input_packed,65536,4,16384,49376,7168,7.936192035675049,7.949507141113282,1.4613413320759598,66,20260908-140154-d4d2b3
kimi_k3,kda_input_packed,65536,8,8192,49376,7168,3.8043839931488037,3.922777605056763,1.5242264532062944,66,20260908-140154-d4d2b3
kimi_k3,kda_input_packed,131072,4,32768,49376,7168,15.733999729156494,15.881585931777954,1.4741941833814618,66,20260908-140154-d4d2b3
kimi_k3,kda_input_packed,131072,8,16384,49376,7168,7.936192035675049,7.949507141113282,1.4613413320759598,66,20260908-140154-d4d2b3
kimi_k3,kda_input_packed,262144,4,65536,49376,7168,31.519360542297363,31.720312309265136,1.4717919705840188,66,20260908-140154-d4d2b3
kimi_k3,kda_input_packed,262144,8,32768,49376,7168,15.733999729156494,15.881585931777954,1.4741941833814618,66,20260908-140154-d4d2b3
kimi_k3,kda_input_packed,524288,4,131072,49376,7168,63.092369079589844,63.40079536437988,1.4705404929580614,66,20260908-140154-d4d2b3
kimi_k3,kda_input_packed,524288,8,65536,49376,7168,31.519360542297363,31.720312309265136,1.4717919705840188,66,20260908-140154-d4d2b3
kimi_k3,mla_input_packed,65536,4,16384,14400,7168,2.342992067337036,2.367552030086517,1.443575841656259,66,20260908-140154-d4d2b3
kimi_k3,mla_input_packed,65536,8,8192,14400,7168,1.2269279956817627,1.237606406211853,1.3783558438246317,66,20260908-140154-d4d2b3
kimi_k3,mla_input_packed,131072,4,32768,14400,7168,4.6824798583984375,4.722865557670593,1.444656185560979,66,20260908-140154-d4d2b3
kimi_k3,mla_input_packed,131072,8,16384,14400,7168,2.342992067337036,2.367552030086517,1.443575841656259,66,20260908-140154-d4d2b3
kimi_k3,mla_input_packed,262144,4,65536,14400,7168,9.3088960647583,9.36379828453064,1.4533567555468538,66,20260908-140154-d4d2b3
