operator,models,sequence,cp,m,n,k,h,a,p50_ms,pflops,cublaslt_pflops,cublaslt_retention,before_prefetch_pflops,prefetch_gain_pct,comm_ctas,raster,swizzle,epilogue_n,weight_raster,weight_swizzle,weight_epilogue_n,m_window,n_group,run
qkv_forward,Kimi K3 QKV-only,524288,4,131072,36864,7168,,,31.31954336166382,2.211693566218334,2.721431720659394,0.812694858161809,,,16,along_n,8,32,,,,0,0,20260914-080553-000090
qkv_forward,Kimi K3 QKV-only,131072,8,16384,36864,7168,,,4.224135875701904,2.049804817724343,2.757828199786808,0.7432677705894811,,,20,along_m,8,32,,,,0,0,20260914-080616-07d508
qkv_forward,Kimi K3 QKV-only,262144,8,32768,36864,7168,,,8.291528224945068,2.0885544458948915,2.7424202001332354,0.7615734619346164,,,24,along_n,8,32,,,,0,0,20260914-080639-b45b8a
qkv_forward,Kimi K3 QKV-only,524288,8,65536,36864,7168,,,16.235191822052002,2.133305023714001,2.718333656972638,0.7847840967726628,,,24,along_n,8,32,,,,0,0,20260914-080707-e1e63a
qkv_forward,BLOOM 176B,131072,4,32768,43008,14336,,,17.573967933654785,2.299256062905807,2.753424208464341,0.8350533331687978,,,8,along_m,8,32,,,,0,0,20260914-080736-c390c1
qkv_forward,BLOOM 176B,262144,4,65536,43008,14336,,,34.730679512023926,2.3268794557721733,2.7242864416831507,0.8541243755317276,,,8,along_m,8,32,,,,0,0,20260914-080754-27ecac
qkv_forward,BLOOM 176B,524288,4,131072,43008,14336,,,68.0621452331543,2.374715177275076,2.7369153721510346,0.8676611638922204,,,8,along_n,8,32,,,,0,0,20260914-080817-2588ee
qkv_forward,BLOOM 176B,131072,8,16384,43008,14336,,,9.26252818107605,2.181210762916881,2.7418792552641342,0.795516709471861,,,8,along_m,8,32,,,,0,0,20260914-080850-c5b241
qkv_forward,BLOOM 176B,262144,8,32768,43008,14336,,,17.684144020080566,2.2849311945709836,2.753424208464341,0.8298507681986828,,,8,along_m,8,32,,,,0,0,20260914-080918-3ca2ef
qkv_forward,BLOOM 176B,524288,8,65536,43008,14336,,,35.154175758361816,2.2988479433289926,2.7242864416831507,0.8438348876077404,,,8,along_m,8,32,,,,0,0,20260914-080946-30ae0c
qkv_backward,QwenDense,131072,4,32768,,,2048,4096,0.934224009514,1.1769250378696492,2.4815194271373113,0.4742759718094787,1.1209257815830642,4.9958041118028484,80,along_n,8,32,along_m,8,32,,,20260914-090254-c9cc96
qkv_backward,QwenDense,262144,4,65536,,,2048,4096,1.7785519957525,1.236412126720872,2.5350023059654188,0.48773609547073077,1.1861325106382288,4.238954385930205,80,along_n,2,32,along_m,8,32,,,20260914-090310-4d4989
qkv_backward,QwenDense,524288,4,131072,,,2048,4096,3.4482879638675,1.2754290120745246,2.536768647191274,0.5027770323031576,1.2218262023802244,4.387105923074586,80,along_n,2,32,along_m,8,32,,,20260914-090326-e4e1b2
qkv_backward,QwenDense,131072,8,16384,,,2048,4096,0.5418959856034999,1.0145043117006056,2.465007426792666,0.41156237529905687,0.9589923860613279,5.788567922553645,80,along_n,8,32,along_m,8,32,,,20260914-090343-936fca
qkv_backward,QwenDense,262144,8,32768,,,2048,4096,1.0027760267249999,1.096467803849412,2.4815194271373113,0.4418534031443392,1.0462850480121504,4.796279554276772,80,along_n,8,32,along_m,8,32,,,20260914-090406-ead0bf
qkv_backward,QwenDense,524288,8,65536,,,2048,4096,1.91025596857,1.1511668026343969,2.5350023059654188,0.4541087792801797,1.102607755445962,4.40401828742758,80,along_n,2,32,along_m,8,32,,,20260914-090429-6731c1
qkv_backward,Qwen3 235B,131072,4,32768,,,4096,9216,2.7016080617925002,1.8314286202230106,2.6895258110251135,0.680948519889817,1.7913371448452131,2.23807536694951,64,along_n,8,32,along_m,8,32,,,20260914-090453-bc149d
qkv_backward,Qwen3 235B,262144,4,65536,,,4096,9216,5.45969593525,1.8124827403104966,2.7003527509407754,0.6712022122587673,1.7688006425288363,2.469588529728739,64,along_n,8,32,along_m,8,32,,,20260914-090508-5b7d89
qkv_backward,Qwen3 235B,524288,4,131072,,,4096,9216,10.9900238514,1.8008340625618235,2.6911583966796915,0.6691668780193927,1.7834468537969441,0.9749216091223589,64,along_n,8,32,along_m,8,32,,,20260914-090526-b8c946
qkv_backward,Qwen2.5 72B / Llama 3.1 70B,131072,4,32768,,,8192,10240,5.4050558805475,2.034228048840498,2.688981472563322,0.7565050446038708,2.0140939919759133,0.9996582555133138,32,along_n,8,32,along_m,8,32,,,20260914-090550-d7ccda
qkv_backward,Qwen2.5 72B / Llama 3.1 70B,262144,4,65536,,,8192,10240,10.5513520241,2.084115145176924,2.7030727846928997,0.7710170280944557,2.060736302875349,1.134489758294377,32,along_n,8,32,along_m,8,32,,,20260914-090610-722067
qkv_backward,Qwen2.5 72B / Llama 3.1 70B,524288,4,131072,,,8192,10240,20.982960700975,2.0960085536926347,2.6537932155783115,0.7898160796359843,2.069715668229121,1.2703621983985114,32,along_n,8,32,along_m,8,32,,,20260914-090633-f262b6
qkv_backward,Qwen2.5 72B / Llama 3.1 70B,131072,8,16384,,,8192,10240,2.64921605587,2.0751641326870214,2.7074098283115307,0.7664758068715413,2.0428513335224556,1.581749911720176,32,along_n,8,32,along_m,8,32,,,20260914-090701-d53068
qkv_backward,Qwen2.5 72B / Llama 3.1 70B,262144,8,32768,,,8192,10240,5.3654478788375,2.0492448209453573,2.688981472563322,0.7620896022730407,2.0193851925886137,1.4786494655072202,32,along_n,8,32,along_m,8,32,,,20260914-090724-9ed350
qkv_backward,Qwen2.5 72B / Llama 3.1 70B,524288,8,65536,,,8192,10240,10.564647912975,2.08149223113367,2.7030727846928997,0.7700466827681636,2.05901668536518,1.0915669566079256,32,along_n,8,32,along_m,8,32,,,20260914-090752-0a14ec
qkv_backward,Llama 3.1 405B,131072,4,32768,,,16384,18432,17.6885442734,2.2377431397483605,2.624571251372373,0.8526128366979017,2.225987381397072,0.5281143302757751,20,along_n,8,32,along_m,8,32,,,20260914-090820-fd4f4a
qkv_backward,Llama 3.1 405B,262144,4,65536,,,16384,18432,35.104032516475,2.25514938099258,2.5990048967064063,0.8676972420676937,2.2297592268143878,1.1386948811718423,20,along_n,8,32,along_m,8,32,,,20260914-090848-2b3e38
qkv_backward,Llama 3.1 405B,524288,4,131072,,,16384,18432,71.358350753775,2.2187967172345004,2.5528999946612627,0.8691279415075194,2.210985939288648,0.3532712627003498,20,along_n,8,32,along_m,8,32,,,20260914-090926-fd91f9
qkv_backward,Llama 3.1 405B,131072,8,16384,,,16384,18432,9.0407919883725,2.1891012784523496,2.684296296119755,0.8155214763797769,2.159228177143482,1.3835083121408687,20,along_n,8,32,along_m,8,32,,,20260914-091025-1bb9ca
qkv_backward,Llama 3.1 405B,262144,8,32768,,,16384,18432,17.596695899975,2.2494233477088295,2.624571251372373,0.8570631666153544,2.222598603717652,1.2069090633958224,20,along_n,8,32,along_m,8,32,,,20260914-091053-0b1769
qkv_backward,Llama 3.1 405B,524288,8,65536,,,16384,18432,35.194655418400004,2.2493425850813726,2.5990048967064063,0.8654630039104029,2.2208887105766486,1.281193171419015,20,along_n,8,32,along_m,8,32,,,20260914-091131-69c1a4
qkv_backward,Kimi K3 QKV-only,131072,4,32768,,,7168,36864,17.76327180865,1.949788116065326,2.57665983459824,0.7567114952018268,1.9305341218439573,0.9973402699030354,32,along_n,8,32,along_m,8,32,,,20260914-091215-6c42fb
qkv_backward,Kimi K3 QKV-only,262144,4,65536,,,7168,36864,35.405959129325,1.9564286423331414,2.535175642493366,0.7717132531334113,1.9397665159507935,0.8589758739175224,32,along_n,8,32,along_m,8,32,,,20260914-091243-3d51ef
