model,aliases,global_seq,cp,m,n,k,result_source,comm_ctas,policy,tile_m,tile_n,tile_k,cluster_m,compute_ctas,compute_clusters,n_tiles,waves,last_wave_clusters,frontier_aligned,full_last_wave,fused_mean_ms,fused_p50_ms,fused_p95_ms,fused_p50_tflops_per_gpu,v2_auto_p50_ms,v2_over_v3_p50,v1_p50_ms,v1_over_v3_p50,te_ub_p50_ms,te_ub_p95_ms,te_ub_over_v3_p50,best_separated,best_separated_p50_ms,best_separated_over_v3_p50,cublas_p50_ms,cublas_p50_tflops_per_gpu,v3_throughput_as_cublas_percent,exact_mismatches,suite,q_heads,head_dim,native_max_context,beyond_native_context,fused_throughput_as_cublas_percent,fused_throughput_as_best_pure_percent,last_wave_ctas,cublaslt_p50_ms,cublaslt_p50_tflops_per_gpu,same_policy_p50_ms,compute_subgrid_p50_ms,route_p50_ms,sequential_p50_ms,overlap_ratio
representative_large,wide-K stress shape; not one specific GQA checkpoint,131072,8,16384,7168,16384,v3_golden,4,m128n256_cluster_m2,128,256,64,2,128,64,28,28,64,False,True,5.748520937,5.737775803,5.82648468,670.6938070330177,5.737775803,1.0,5.723855972,0.9975740022827797,6.242720127105713,6.303449583053588,1.0880034949852349,cuBLASLt+NCCL,7.926640033721924,1.3814830529937183,5.493776321,700.4818675463507,95.74749013594389,0,artificial,128,128,,False,95.74749013594389,95.74749013594389,,,,,,,,
representative_large,wide-K stress shape; not one specific GQA checkpoint,262144,4,65536,7168,16384,v3_golden,6,m128n320_cluster_m2,128,320,64,2,126,63,23,94,29,False,False,23.25918152,22.55342484,27.82769203,682.5199675023724,22.55342484,1.0,23.42764664,1.0387622636562721,24.551295280456543,28.789139461517333,1.0885839048672192,cuBLASLt+NCCL,32.126991271972656,1.4244839309280113,20.5291214,749.820827152593,91.02440780342255,0,artificial,128,128,,False,91.02440780342255,91.02440780342255,,,,,,,,
representative_large,wide-K stress shape; not one specific GQA checkpoint,262144,8,32768,7168,16384,v3_golden,6,m128n320_cluster_m2,128,320,64,2,126,63,23,47,46,False,False,11.6888397,11.69273567,11.77287197,658.2361571876703,11.69273567,1.0,11.31001663,0.9672686486035992,12.986944198608398,16.417628479003906,1.1106848358788222,cuBLASLt+NCCL,20.306096076965332,1.7366420186051579,10.91713619,705.000034851814,93.3668261911543,0,artificial,128,128,,False,93.3668261911543,93.3668261911543,,,,,,,,
representative_large,wide-K stress shape; not one specific GQA checkpoint,524288,4,131072,7168,16384,v3_golden,6,m128n320_cluster_m2,128,320,64,2,126,63,23,187,58,False,False,46.83772476,45.87843323,50.72131729,671.0413457972396,45.87843323,1.0,47.11523438,1.0269582255304928,49.46041488647461,52.5919132232666,1.0780755009334613,cuBLASLt+NCCL,61.40481758117676,1.3384244678395867,41.69548798,738.3610809998247,90.88254555461855,0,artificial,128,128,,False,90.88254555461855,90.88254555461855,,,,,,,,
representative_large,wide-K stress shape; not one specific GQA checkpoint,524288,8,65536,7168,16384,v3_golden,6,m128n320_cluster_m2,128,320,64,2,126,63,23,94,29,False,False,24.08533241,23.75963211,26.55798721,647.8704180939442,23.75963211,1.0,22.94919968,0.9658903628537707,26.156208038330078,30.978607940673825,1.100867552040985,cuBLASLt+NCCL,33.45591926574707,1.4080992125995957,21.67399979,710.213294177761,91.22195027959968,0,artificial,128,128,,False,91.22195027959968,91.22195027959968,,,,,,,,
production_qwen_dense,current production Qwen dense,1024,4,256,2048,2048,new_geometry_manual_comm_ctas,21,m64n128,64,128,64,1,,111,16,1,64,True,False,0.02049856,0.02041600086,0.02146399952,105.186302779182,,,,,,,,,,,0.01467199996,146.36611599336456,,0,model,16,128,,False,71.86520053859363,67.86833702161198,64,0.01385600027,154.98582607923117,0.01507200021,0.01500800066,0.01272,0.02243199944,0.579285427
production_qwen_dense,current production Qwen dense,1024,8,128,2048,2048,new_geometry_manual_comm_ctas,15,m64n128,64,128,64,1,,117,16,1,32,True,False,0.02209024001,0.02199999988,0.02269439958,48.806446811671535,,,,,,,,,,,0.01600000076,67.10886081232911,,0,model,16,128,,False,72.72727657851243,66.47272581712396,32,0.0146239996,73.42326677853575,0.01659199968,0.01654399931,0.01212800015,0.02380800061,0.5622744494
production_qwen_dense,current production Qwen dense,4096,4,1024,2048,2048,new_geometry_manual_comm_ctas,14,m128n160,128,160,64,1,,118,13,1,104,True,False,0.03152448025,0.0314560011,0.03258080035,273.0777686805206,,,,,,,,,,,0.02166399918,396.5073355398825,,0,model,16,128,,False,68.87079864706644,66.02237755516865,104,0.02076799981,413.6139575590645,0.02232000045,0.02227200009,0.02627200074,0.04142399877,0.7346519305
production_qwen_dense,current production Qwen dense,4096,8,512,2048,2048,new_geometry_manual_comm_ctas,9,m128n128,128,128,64,1,,123,16,1,64,True,False,0.03074368,0.03067200072,0.03137759864,140.028925247104,,,,,,,,,,,0.01910400018,224.82031278959084,,0,model,16,128,,False,62.28481915606841,59.989566960338806,64,0.01840000041,233.42213045091992,0.02374400012,0.02369599976,0.02321599983,0.04019200057,0.7354766184
production_qwen_dense,current production Qwen dense,16384,4,4096,2048,2048,new_geometry_manual_comm_ctas,15,m128n160,128,160,64,1,,117,13,4,65,True,False,0.08003455952,0.07993599772,0.08302719891,429.84061434193103,,,,,,,,,,,0.05222399905,657.9300511840064,,0,model,16,128,,False,65.33226648765972,63.951160375908806,65,0.0511199981,672.1388819456939,0.06246399879,0.06227200106,0.06164800003,0.1208000034,0.7168111417
production_qwen_dense,current production Qwen dense,16384,8,2048,2048,2048,new_geometry_manual_comm_ctas,15,m128n160,128,160,64,1,,117,13,2,91,True,False,0.05826943994,0.0580479987,0.06019200012,295.95971555863474,,,,,,,,,,,0.03926400095,437.54759495542436,,0,model,16,128,,False,67.64057647003773,64.63616264172774,91,0.03751999885,457.8856532667511,0.04531199858,0.04540799931,0.04720000178,0.08422400057,0.7593450756
production_qwen_dense,current production Qwen dense,131072,4,32768,2048,2048,new_geometry_manual_comm_ctas,16,m128n256_cluster_m2,128,256,64,2,,58,8,18,38,False,False,0.4232985592,0.422991991,0.431812793,649.8418712235145,,,,,,,,,,,0.369599998,743.7172847170849,,0,model,16,128,,False,87.37754044142173,76.90737066461384,76,0.3253120184,844.9669590934486,0.3463839889,0.4051520228,0.3925439715,0.7405439615,0.9158360267
production_qwen_dense,current production Qwen dense,131072,8,16384,2048,2048,new_geometry_manual_comm_ctas,17,m128n160,128,160,64,1,,115,13,15,54,False,False,0.3032729584,0.3025439978,0.3102495968,454.2775744070636,,,,,,,,,,,0.2285920084,601.2412876284961,,0,model,16,128,,False,75.55661657882673,72.77486844923287,54,0.2201759964,624.2231474783961,0.2465119958,0.2784000039,0.2565919757,0.4966399968,0.8133362994
production_qwen_dense,current production Qwen dense,262144,4,65536,2048,2048,new_geometry_manual_comm_ctas,16,m128n256_cluster_m2,128,256,64,2,,58,8,36,18,False,False,0.7865369594,0.7855039835,0.7980160117,699.8765447864848,,,,,,,,,,,0.7116799951,772.4761376926892,,0,model,16,128,,False,90.60170413508794,90.60170413508794,36,0.7238399982,759.4990816411062,0.7562400103,0.8611359596,0.7706720233,1.434256077,0.9792346942
production_qwen_dense,current production Qwen dense,262144,8,32768,2048,2048,new_geometry_manual_comm_ctas,24,m128n256_cluster_m2,128,256,64,2,,54,8,19,52,False,False,0.5588403237,0.5584800243,0.567166388,492.1893263568962,,,,,,,,,,,0.4381759763,627.3230889221619,,0,model,16,128,,False,78.45866588499932,72.27617841944003,104,0.4036480188,680.9841598162205,0.4514400065,0.5213919878,0.4604960084,0.90881598,0.7817272462
production_qwen_dense,current production Qwen dense,524288,4,131072,2048,2048,new_geometry_manual_comm_ctas,16,m128n256_cluster_m2,128,256,64,2,,58,8,71,36,False,False,1.644639354,1.633343935,1.741047978,673.1660149556927,,,,,,,,,,,1.467296004,749.3454795614641,,0,model,16,128,,False,89.83386612936485,83.24517744635332,72,1.359680057,808.6546699831458,1.479087949,1.620368004,1.504863977,2.804368019,0.9066502785
production_qwen_dense,current production Qwen dense,524288,8,65536,2048,2048,new_geometry_manual_comm_ctas,20,m128n256_cluster_m2,128,256,64,2,,56,8,37,32,True,False,1.055735042,1.053951979,1.066632032,521.6137213477351,,,,,,,,,,,0.8479520082,648.3336422010492,,0,model,16,128,,False,80.4545202338863,80.4545202338863,64,0.8515999913,645.5563873935422,0.8865439892,1.006847978,0.933776021,1.804448009,0.8622683876
llama3_8b,Llama 3/3.1 8B,1024,4,256,4096,4096,v3_golden_same_geometry,4,m64n128,64,128,64,1,128,128,32,1,128,True,True,0.04046655968,0.04046399891,0.04169600084,212.2858546706105,0.04046399891,1.0,0.04009599984,0.9909055189819844,0.04388799890875816,0.047515200451016426,1.084618428504158,TE+NCCL,0.08951999992132187,2.2123369497026775,0.02352000028,365.21830313515625,58.12574365749953,0,model,32,128,,False,58.12574365749953,58.12574365749953,,,,,,,,
