model,sequence,cp,m,n,k,auto_pflops,manual_same_run_pflops,manual_saved_pflops,pure_cublaslt_pflops,auto_over_manual_same_run,auto_over_manual_saved,auto_over_pure_cublaslt,epilogue_n,raster,swizzle,auto_comm_ctas,manual_comm_ctas,auto_run_id,manual_saved_run_id
Llama 3.1 405B,131072,8,16384,18432,16384,1.8103394292954083,1.8882953732815806,1.8828285471377673,2.694611355739248,0.9587162341817868,0.9614998838037827,0.6718369331590508,32,along_m,8,16,32,20260911-210106-726d6c,20260911-150019-e3e9a1
Llama 3.1 405B,262144,8,32768,18432,16384,1.9426031018449337,1.942072447951647,1.9392529819468005,2.702045697349937,1.0002732410388946,1.0017275311314824,0.7189379157244322,32,along_m,8,16,16,20260911-210508-1bf83c,20260911-145809-c57740
Llama 3.1 405B,524288,8,65536,18432,16384,1.9919506509841383,1.9942773856354343,2.0112755089817207,2.706050522296923,0.9988332943711565,0.9903917400121048,0.7361099264670604,32,along_n,8,16,24,20260911-210931-421985,20260911-150208-3cce85
Kimi K3 QKV-only,131072,4,32768,36864,7168,1.9196950667418582,2.0648724001197225,2.0420660334684277,2.7424202001332354,0.9296918621366401,0.9400749218091035,0.7000003378944603,32,along_m,8,16,24,20260911-210339-f6714b,20260911-150446-e7e555
Kimi K3 QKV-only,262144,4,65536,36864,7168,2.037042853147684,2.097164126868239,2.0866157404444157,2.718333656972638,0.9713321084648078,0.976242445441261,0.7493718984505766,32,along_m,8,16,24,20260911-210752-7beb57,20260911-150607-2cc7e2
Kimi K3 QKV-only,524288,4,131072,36864,7168,2.081598424453841,2.0811450188636784,2.08275304883433,2.721431720659394,1.0002178635251522,0.9994456258839062,0.7648909243805965,32,along_n,8,16,16,20260911-211218-cd9104,20260911-150711-b2d68b
Kimi K3 QKV-only,131072,8,16384,36864,7168,1.724760064201075,1.9011556535854677,1.894195188022641,2.757828199786808,0.9072166505400434,0.9105503356291174,0.625405188160164,32,along_m,8,16,24,20260911-210135-3fe9df,20260911-150106-6d62d7
Kimi K3 QKV-only,262144,8,32768,36864,7168,1.7533545376138937,1.8650441471909212,1.8600632122476994,2.7424202001332354,0.9401142274593064,0.9426316944869529,0.6393456909078741,32,along_n,8,16,24,20260911-210537-fffaad,20260911-145857-c9b6d7
Kimi K3 QKV-only,524288,8,65536,36864,7168,1.9656957684781424,2.018236380227716,2.0129476269365565,2.718333656972638,0.973967067354298,0.9765260368297186,0.7231252732482092,32,along_n,8,16,24,20260911-210959-a5533c,20260911-150256-49d75f
BLOOM 176B,131072,4,32768,43008,14336,2.07454811205737,2.078461473202754,2.0770255533928705,2.753424208464341,0.9981171836977311,0.9988072167280496,0.7534429695504136,32,along_m,8,16,16,20260911-210356-4874b0,20260911-150429-68669f
BLOOM 176B,262144,4,65536,43008,14336,2.0870333243833272,2.1017754276968663,2.103638213109388,2.7242864416831507,0.9929858808323335,0.992106585332695,0.7660843927608038,32,along_m,8,16,16,20260911-210817-fef308,20260911-150549-6ff55c
BLOOM 176B,524288,4,131072,43008,14336,2.113604919257822,2.1150182896651613,2.1150182896651613,2.7369153721510346,0.9993317455389177,0.9993317455389177,0.7722580466916915,32,along_n,8,16,16,20260911-211939-a09975,20260911-211939-a09975
BLOOM 176B,131072,8,16384,43008,14336,1.8893439899585587,1.9748829373254726,1.9767038064989593,2.7418792552641342,0.9566865732898797,0.9558053076777709,0.6890689975976174,32,along_m,8,16,32,20260911-210200-e2931b,20260911-150042-f9dc7a
BLOOM 176B,262144,8,32768,43008,14336,1.9887427179398882,2.0114827829582587,1.9898663161714432,2.753424208464341,0.9886948746412202,0.9994353398404588,0.7222798113804133,32,along_m,8,16,24,20260911-210606-c680dd,20260911-145833-b22fe3
BLOOM 176B,524288,8,65536,43008,14336,2.0228220741770127,2.0499780774203087,2.0492020586058963,2.7242864416831507,0.9867530274872651,0.9871267041148541,0.7425144592825007,32,along_m,8,16,24,20260911-211028-1ebf49,20260911-150232-531d01
