model,aliases,global_seq,cp,m,n,k,result_source,comm_ctas,policy,tile_m,tile_n,tile_k,cluster_m,compute_ctas,compute_clusters,n_tiles,waves,last_wave_clusters,frontier_aligned,full_last_wave,fused_mean_ms,fused_p50_ms,fused_p95_ms,fused_p50_tflops_per_gpu,v2_auto_p50_ms,v2_over_v3_p50,v1_p50_ms,v1_over_v3_p50,te_ub_p50_ms,te_ub_p95_ms,te_ub_over_v3_p50,best_separated,best_separated_p50_ms,best_separated_over_v3_p50,cublas_p50_ms,cublas_p50_tflops_per_gpu,v3_throughput_as_cublas_percent,exact_mismatches
representative_large,hundreds-of-B median-like O-proj,1024,8,128,7168,16384,v2_auto_inherited,4,m64n128,64,128,64,1,128,128,56,1,112,true,false,0.1115244798,0.1116960049,0.1152879968,269.16603775503523,0.1116960049,1.0,0.108160004,0.9683426376514922,0.11585600301623344,0.11693439967930316,1.0372439293594953,cuBLASLt+NCCL,0.15195199847221375,1.3604067451495192,0.09385599941,320.32870845757265,84.02807199239406,0
representative_small,single-digit-B median-like O-proj,4096,8,512,4096,4096,v2_auto_inherited,4,m128n128,128,128,64,1,128,128,32,1,128,true,true,0.0611456003,0.06107199937,0.06327199936,281.3051703108177,0.06107199937,1.0,0.0632160008,1.0351061280474991,0.09091199934482574,0.10244159810245035,1.488603620032847,cuBLASLt+NCCL,0.18063999712467194,2.957820261136015,0.03903999925,440.0581330441496,63.9245475057713,0
representative_medium,tens-of-B median-like O-proj,4096,8,512,5120,5120,v2_auto_inherited,4,m128n160,128,160,64,1,128,128,32,1,128,true,true,0.08296191961,0.08292800188,0.08475999534,323.6970021156863,0.08292800188,1.0,0.08276799321,0.9980705109688819,0.1292639970779419,0.1371439978480339,1.558749688253575,cuBLASLt+NCCL,0.11158400028944016,1.3455527416530122,0.05643200129,475.679490118611,68.04939225674251,0
representative_large,hundreds-of-B median-like O-proj,4096,8,512,7168,16384,manual_comm_ctas,20,m128n128,128,128,64,1,112,112,56,2,112,true,true,0.2366,0.2365,0.2391,508.49507098520087,0.2630720139,1.1123552384778013,0.2650880218,1.1208795847780129,0.25065600872039795,0.25299201160669327,1.059856273659188,TE+NCCL,0.41363200545310974,1.7489725389137833,0.1962720007,612.7164539980154,82.99027513742072,0
representative_small,single-digit-B median-like O-proj,16384,8,2048,4096,4096,v2_auto_inherited,4,m128n256_cluster_m2,128,256,64,2,128,64,16,2,64,true,true,0.1926937607,0.1926880032,0.1964496076,356.63598975942887,0.1926880032,1.0,0.196480006,1.0196794960611226,0.22420799732208252,0.24173759371042247,1.1635804699754266,cuBLASLt+NCCL,0.3296799957752228,1.7109523701536948,0.1180799976,581.9739001756212,61.28040959428033,0
representative_medium,tens-of-B median-like O-proj,16384,8,2048,5120,5120,v2_auto_inherited,4,m128n320_cluster_m2,128,320,64,2,128,64,16,2,64,true,true,0.2582630408,0.2580960095,0.2619968057,416.02418653435245,0.2580960095,1.0,0.2818560004,1.0920587301835054,0.2799680083990097,0.28334079682826996,1.0847436538882624,cuBLASLt+NCCL,0.43724799156188965,1.6941292211722074,0.1811999977,592.5727580734953,70.20643133965231,0
representative_large,hundreds-of-B median-like O-proj,16384,8,2048,7168,16384,v2_auto_inherited,4,m128n320_cluster_m2,128,320,64,2,128,64,23,3,56,false,false,0.8004876792,0.800639987,0.8103663921,600.8147793797364,0.800639987,1.0,0.8355200291,1.043565201171997,0.8546399772167206,0.871246388554573,1.0674460320412658,TE+NCCL,1.3761919736862183,1.718864903116834,0.6934880018,693.6476707649363,86.61670826590878,0
representative_small,single-digit-B median-like O-proj,131072,8,16384,4096,4096,manual_comm_ctas,12,m128n320_cluster_m2,128,320,64,2,120,60,13,14,52,false,false,0.9381,0.9361,0.9474,587.2832110757398,1.30697608,1.3961927999145392,1.373888016,1.4676722743296655,1.1209759712219238,1.142031991481781,1.1974959632752096,cuBLASLt+NCCL,2.111199975013733,2.255314576448812,0.8478720188,648.394806879078,90.57494058327102,0
representative_medium,tens-of-B median-like O-proj,131072,8,16384,5120,5120,manual_comm_ctas,6,m128n320_cluster_m2,128,320,64,2,126,63,16,17,16,false,false,1.3929,1.393,1.3997,616.6500066044508,1.783087969,1.2800344357501796,1.834272027,1.3167781959798994,1.5952479839324951,1.614467203617096,1.1451887896141386,cuBLASLt+NCCL,2.0675359964370728,1.4842325889713373,1.281087995,670.5187017227493,91.966115936827,0
representative_large,hundreds-of-B median-like O-proj,131072,8,16384,7168,16384,v2_auto_inherited,4,m128n256_cluster_m2,128,256,64,2,128,64,28,28,64,false,true,5.748520937,5.737775803,5.82648468,670.6938070330177,5.737775803,1.0,5.723855972,0.9975740022827797,6.242720127105713,6.303449583053588,1.0880034949852349,cuBLASLt+NCCL,7.926640033721924,1.3814830529937183,5.493776321,700.4818675463507,95.74749013594389,0
representative_small,single-digit-B median-like O-proj,262144,8,32768,4096,4096,v2_auto_inherited,8,m128n320_cluster_m2,128,320,64,2,124,62,13,27,52,false,false,1.771365125,1.769024014,1.78966558,621.5357276523664,1.769024014,1.0,2.708335876,1.5309774511630796,2.1101280450820923,2.125880002975464,1.1928204639296052,cuBLASLt+NCCL,3.0956640243530273,1.7499276436351572,1.619215965,679.0395176075231,91.53159890343919,0
representative_medium,tens-of-B median-like O-proj,262144,8,32768,5120,5120,v2_auto_inherited,8,m128n320_cluster_m2,128,320,64,2,124,62,16,34,2,false,false,2.731374731,2.733103991,2.748828888,628.5845412605086,2.733103991,1.0,3.567888021,1.305434419161843,3.012735962867737,3.0760112047195434,1.1023129645957686,cuBLASLt+NCCL,5.531264066696167,2.0238030038046095,2.447455883,701.9480638376843,89.5485825295844,0
representative_large,hundreds-of-B median-like O-proj,262144,8,32768,7168,16384,v2_auto_inherited,6,m128n320_cluster_m2,128,320,64,2,126,63,23,47,46,false,false,11.6888397,11.69273567,11.77287197,658.2361571876703,11.69273567,1.0,11.31001663,0.9672686486035992,12.986944198608398,16.417628479003906,1.1106848358788222,cuBLASLt+NCCL,20.306096076965332,1.7366420186051579,10.91713619,705.000034851814,93.3668261911543,0
representative_small,single-digit-B median-like O-proj,524288,8,65536,4096,4096,v2_auto_inherited,8,m128n320_cluster_m2,128,320,64,2,124,62,13,54,42,false,false,3.497522578,3.498415947,3.509927988,628.5768441679243,3.498415947,1.0,5.314975739,1.51925208995167,4.193040132522583,4.253660941123963,1.1985539158424672,cuBLASLt+NCCL,7.766703844070435,2.220063011869879,3.191215992,689.0863110064284,91.2188842134843,0
representative_medium,tens-of-B median-like O-proj,524288,8,65536,5120,5120,v2_auto_inherited,8,m128n320_cluster_m2,128,320,64,2,124,62,16,67,4,false,false,5.349253111,5.352848053,5.378229141,641.8963891333158,5.352848053,1.0,7.107279778,1.3277566834755807,6.004479885101318,6.149176025390625,1.1217355369794426,cuBLASLt+NCCL,7.9599199295043945,1.4870438784533149,4.950160027,694.1136888623662,92.47712578401486,0
representative_large,hundreds-of-B median-like O-proj,524288,8,65536,7168,16384,v2_auto_inherited,6,m128n320_cluster_m2,128,320,64,2,126,63,23,94,29,false,false,24.08533241,23.75963211,26.55798721,647.8704180939442,23.75963211,1.0,22.94919968,0.9658903628537707,26.156208038330078,30.978607940673825,1.100867552040985,cuBLASLt+NCCL,33.45591926574707,1.4080992125995957,21.67399979,710.213294177761,91.22195027959968,0
