models,ep,h,f,experts,topk,target_rows,cohort,status,pflops,ms,reference_backend,reference_pflops,retention_pct,historical_gain_pct,tile_n,tile_k,along_n,swizzle,comm,compute,buffer_rows,tail_balance,run,case_index,reference_run,reference_case
"qwen3_235b","4","4096","1536","128","8","512","release_equivalent","valid","0.9564918703246758","0.43107199674999996","deepgemm_m128","1.5074909025853611","63.449263188539526","116.17362888929068","256","64","1","4","20","128","0","true","20260917-004345-454b80","27","20260916-135731-c2fd3e","10"
"qwen3_235b","4","4096","1536","128","8","1024","release_equivalent","valid","0.953060540229042","0.86524799425","deepgemm_m128","1.52522401531994","62.486594143295235","20.656279406336186","256","64","1","4","40","108","0","true","20260917-004345-454b80","28","20260916-135731-c2fd3e","11"
"qwen3_235b","4","4096","1536","128","8","2048","release_equivalent","valid","1.133828865100474","1.4545999775","cutlass_stock","1.4470507999931468","78.35446171660621","145.79293467643407","256","64","1","4","20","128","0","true","20260917-004345-454b80","29","20260916-135731-c2fd3e","12"
"qwen3_235b","4","4096","1536","128","8","4096","release_equivalent","valid","1.0856643284881593","3.038264035","deepgemm_m256","1.4316905680284238","75.83093391354977","23.81623063908598","256","64","1","4","40","108","0","true","20260917-004345-454b80","30","20260916-135731-c2fd3e","13"
"qwen3_235b","4","4096","1536","128","8","8192","release_equivalent","valid","1.1756129654095888","5.6116000425","deepgemm_m256","1.4034789606923785","83.76420297954616","149.05737969831446","256","64","1","4","20","128","0","true","20260917-004345-454b80","31","20260916-135731-c2fd3e","14"
"kimi_k25","4","7168","2048","384","8","192","release_equivalent","valid","0.5364685705510408","2.0175119625","deepgemm_m256","1.0236403149357434","52.40791738304254","13.377667023374595","256","64","0","8","40","108","0","true","20260917-004438-75aef5","0","20260916-140116-601744","7"
"kimi_k25","4","7168","2048","384","8","256","release_equivalent","valid","0.881867418988802","1.6364240025","deepgemm_m256","1.3144888655090083","67.08823803139005","18.932989984666282","256","64","0","8","40","108","0","true","20260917-004438-75aef5","1","20260916-140116-601744","8"
"kimi_k25","4","7168","2048","384","8","384","release_equivalent","valid","0.971255111138206","2.2287280574999997","cutlass_stock","1.2568066687180086","77.27959560629351","23.341740179981564","256","64","1","8","40","108","0","true","20260917-004438-75aef5","2","20260916-140116-601744","9"
"kimi_k25","4","7168","2048","384","8","512","release_equivalent","valid","1.0107051363619213","2.8556479225","deepgemm_m256","1.2786899465637696","79.04223686734963","16.91048863885285","256","64","1","8","40","108","0","true","20260917-004438-75aef5","3","20260916-140116-601744","10"
"kimi_k25","4","7168","2048","384","8","1024","release_equivalent","valid","1.0927759493608546","5.282360075","deepgemm_m256","1.3480297832116985","81.0646740131588","14.970276046545372","256","64","1","8","40","108","0","true","20260917-004438-75aef5","4","20260916-140116-601744","11"
"kimi_k25","4","7168","2048","384","8","2048","release_equivalent","valid","1.083771541464567","10.652496075","deepgemm_m256","1.350732406553933","80.2358436212801","10.69180140486463","256","64","1","8","40","108","0","true","20260917-004438-75aef5","5","20260916-140116-601744","12"
"kimi_k25","4","7168","2048","384","8","4096","release_equivalent","valid","1.0824148326619518","21.331696025000003","cutlass_stock","1.293250412993495","83.69723464123852","9.762338271459559","256","64","1","8","40","108","0","true","20260917-004438-75aef5","6","20260916-140116-601744","13"
"kimi_k25","4","7168","2048","384","8","8192","release_equivalent","insufficient_memory","","","cutlass_stock","1.253342596408317","","","256","64","1","8","40","108","0","true","20260917-004438-75aef5","7","20260916-140116-601744","14"
"mimo_v2_flash/mimo_v25","4","4096","2048","256","8","192","release_equivalent","valid","0.5114832235849047","0.80612000825","deepgemm_m256","1.02182058292649","50.05606973780259","17.13193759447913","256","64","0","4","40","108","0","true","20260917-004438-75aef5","8","20260916-141348-071c58","7"
"mimo_v2_flash/mimo_v25","4","4096","2048","256","8","256","release_equivalent","valid","0.8132867550055339","0.675967991","deepgemm_m256","1.320893338812486","61.57096346149324","20.36072932926789","256","64","0","4","40","108","0","true","20260917-004438-75aef5","9","20260916-141348-071c58","8"
