model,suite,aliases,global_seq,cp,m,n,k,q_heads,kv_heads,head_dim,max_context,within_native_context,result_source,comm_sm,streams,push,use_ce,pack_block,pack_warps,reverse,local_first,math_sm,p50_ms,p95_ms,p50_tflops_per_gpu,correctness_scope,max_abs,remote_recv_mismatches,post_graph_max_abs
nanbeige42_3b,model,Nanbeige/Nanbeige4.2-3B,4096,4,1024,8192,3072,48,8,128,262144,True,adapted_te_userbuffers_formal_10w50i,8,1,True,True,512,4,False,False,124,0.13300800323486328,0.14042560383677483,387.49252900964336,same_head_geometry_s1k,,,
nanbeige42_3b,model,Nanbeige/Nanbeige4.2-3B,4096,8,512,8192,3072,48,8,128,262144,True,adapted_te_userbuffers_formal_10w50i,8,1,True,False,1024,4,False,False,124,0.12601600587368011,0.12787840515375137,204.49627487663705,same_head_geometry_s1k,,,
nanbeige42_3b,model,Nanbeige/Nanbeige4.2-3B,16384,4,4096,8192,3072,48,8,128,262144,True,adapted_te_userbuffers_formal_10w50i,12,1,True,True,512,4,False,False,120,0.4253759980201721,0.4289519980549812,484.649888962996,same_head_geometry_s1k,,,
nanbeige42_3b,model,Nanbeige/Nanbeige4.2-3B,16384,8,2048,8192,3072,48,8,128,262144,True,adapted_te_userbuffers_formal_10w50i,8,3,True,False,512,4,False,False,124,0.30638399720191956,0.31291520446538923,336.43798646593996,same_head_geometry_s1k,,,
nanbeige42_3b,model,Nanbeige/Nanbeige4.2-3B,131072,4,32768,8192,3072,48,8,128,262144,True,adapted_te_userbuffers_formal_10w50i,12,1,True,True,512,4,False,False,120,3.4466240406036377,3.4601343393325807,478.5167811268296,same_head_geometry_s1k,,,
nanbeige42_3b,model,Nanbeige/Nanbeige4.2-3B,131072,8,16384,8192,3072,48,8,128,262144,True,adapted_te_userbuffers_formal_10w50i,8,1,True,True,512,4,False,False,124,1.9352800250053406,1.9454624474048612,426.10563338487634,same_head_geometry_s1k,,,
nanbeige42_3b,model,Nanbeige/Nanbeige4.2-3B,262144,4,65536,8192,3072,48,8,128,262144,True,adapted_te_userbuffers_formal_10w50i,12,1,True,True,512,4,False,False,120,6.692608118057251,6.842595219612122,492.86239760972404,same_head_geometry_s1k,,,
nanbeige42_3b,model,Nanbeige/Nanbeige4.2-3B,262144,8,32768,8192,3072,48,8,128,262144,True,adapted_te_userbuffers_formal_10w50i,8,1,True,False,1024,4,False,False,124,3.6800320148468018,3.698915207386017,448.1666015431821,same_head_geometry_s1k,,,
nanbeige42_3b,model,Nanbeige/Nanbeige4.2-3B,524288,4,131072,8192,3072,48,8,128,262144,False,adapted_te_userbuffers_formal_10w50i,8,1,True,False,1024,4,False,False,124,13.542416095733643,17.15023889541626,487.14126932891384,same_head_geometry_s1k,,,
nanbeige42_3b,model,Nanbeige/Nanbeige4.2-3B,524288,8,65536,8192,3072,48,8,128,262144,False,adapted_te_userbuffers_formal_10w50i,8,1,True,False,1024,4,False,False,124,7.058495998382568,7.205249643325805,467.31412528729186,same_head_geometry_s1k,,,
llama3_8b,model,Llama 3/3.1 8B,1024,4,256,6144,4096,32,8,128,,True,adapted_te_userbuffers_formal_10w50i,4,1,True,False,512,4,False,False,128,0.05804799869656563,0.06008640099316835,221.96978668210878,exact,0.0,0,0.0
llama3_8b,model,Llama 3/3.1 8B,1024,8,128,6144,4096,32,8,128,,True,adapted_te_userbuffers_formal_10w50i,8,1,True,False,1024,4,False,False,124,0.09966399893164635,0.15726560056209563,64.64170626364789,exact,0.0009765625,0,0.0009765625
llama3_8b,model,Llama 3/3.1 8B,4096,4,1024,6144,4096,32,8,128,,True,adapted_te_userbuffers_formal_10w50i,8,1,True,False,1024,4,False,False,124,0.11911999806761742,0.1308304004371166,432.6696473143325,same_head_geometry_s1k,,,
llama3_8b,model,Llama 3/3.1 8B,4096,8,512,6144,4096,32,8,128,,True,adapted_te_userbuffers_formal_10w50i,8,1,True,False,1024,4,False,False,124,0.1287200003862381,0.13060639947652816,200.20046378709569,same_head_geometry_s1k,,,
llama3_8b,model,Llama 3/3.1 8B,16384,4,4096,6144,4096,32,8,128,,True,adapted_te_userbuffers_formal_10w50i,12,1,True,True,512,4,False,False,120,0.39795199036598206,0.40259999930858614,518.0484962982684,same_head_geometry_s1k,,,
llama3_8b,model,Llama 3/3.1 8B,16384,8,2048,6144,4096,32,8,128,,True,adapted_te_userbuffers_formal_10w50i,12,1,True,False,1024,4,False,False,120,0.2922400087118149,0.3004511997103691,352.7210923595645,same_head_geometry_s1k,,,
llama3_8b,model,Llama 3/3.1 8B,131072,4,32768,6144,4096,32,8,128,,True,adapted_te_userbuffers_formal_10w50i,8,1,True,False,1024,4,False,False,124,3.082319974899292,3.8757647037506104,535.0734041548967,same_head_geometry_s1k,,,
llama3_8b,model,Llama 3/3.1 8B,131072,8,16384,6144,4096,32,8,128,,True,adapted_te_userbuffers_formal_10w50i,8,1,True,True,512,4,False,False,124,1.7508800029754639,1.7694848239421845,470.9824313662894,same_head_geometry_s1k,,,
llama3_8b,model,Llama 3/3.1 8B,262144,4,65536,6144,4096,32,8,128,,True,adapted_te_userbuffers_formal_10w50i,12,1,True,True,512,4,False,False,120,6.343407869338989,6.433244824409485,519.9941342683553,same_head_geometry_s1k,,,
llama3_8b,model,Llama 3/3.1 8B,262144,8,32768,6144,4096,32,8,128,,True,adapted_te_userbuffers_formal_10w50i,8,1,True,False,1024,4,False,False,124,3.3852479457855225,3.415129625797272,487.1925094045953,same_head_geometry_s1k,,,
llama3_8b,model,Llama 3/3.1 8B,524288,4,131072,6144,4096,32,8,128,,True,adapted_te_userbuffers_formal_10w50i,12,1,True,True,512,4,False,False,120,12.887872219085693,15.38797755241394,511.8819968502153,same_head_geometry_s1k,,,
llama3_8b,model,Llama 3/3.1 8B,524288,8,65536,6144,4096,32,8,128,,True,adapted_te_userbuffers_formal_10w50i,8,1,True,False,1024,4,False,False,124,6.592031955718994,6.666598272323609,500.3821136616787,same_head_geometry_s1k,,,
qwen25_14b_32b,model,Qwen2.5 14B/32B; Llama 4 uses the same QKV shape,1024,4,256,7168,5120,40,8,128,,True,adapted_te_userbuffers_formal_10w50i,8,1,True,False,1024,4,False,False,124,0.06572800129652023,0.06707199662923813,285.8824481095975,exact,0.0,0,0.0
qwen25_14b_32b,model,Qwen2.5 14B/32B; Llama 4 uses the same QKV shape,1024,8,128,7168,5120,40,8,128,,True,adapted_te_userbuffers_formal_10w50i,8,1,True,False,512,4,False,False,124,0.10673600062727928,0.10773280076682568,88.02316842288347,exact,0.0009765625,0,0.0009765625
