model,seq,cp,node,tile,comm_ctas,old_ms,new_ms,old_p,new_p,ratio,gain,before_run,after_run
qwen25_14b_32b,4096,8,09,m128n256k64e32,32,0.06252799928188324,0.0629120022058487,0.6010261686221687,0.5973576189331046,0.9938961897491516,-0.6103810250848385,20260907-215006-5fd12d,20260907-214943-846db1
qwen25_14b_32b,16384,4,0a,m128n256k64e32,16,0.23878399282693863,0.23899199813604355,1.2590781616500473,1.2579823302237074,0.9991296557594932,-0.0870344240506804,20260907-215613-2a033e,20260907-215627-599c6e
qwen25_14b_32b,16384,8,0a,m128n256k64e32,24,0.14299199730157852,0.14047999680042267,1.0512746041511551,1.0700730266499245,1.0178815529496674,1.7881552949667423,20260907-215704-752964,20260907-215641-57d4f7
qwen25_14b_32b,131072,4,0a,m128n256k64e32,12,1.8809600472450256,1.8795839548110962,1.2786989757080607,1.2796351445773688,1.0007321260805655,0.07321260805654983,20260907-214717-348977,20260907-214703-85c9b8
qwen25_14b_32b,131072,8,09,m128n256k64e32,16,0.9740000069141388,0.959199994802475,1.234692848401604,1.2537435877776937,1.0154295373142819,1.5429537314281871,20260907-213059-e971ae,20260907-213036-ff2c5f
qwen25_14b_32b,262144,4,09,m128n256k64e32,16,3.904352068901062,3.831071972846985,1.2320516404848572,1.2556181156641844,1.0191278306890226,1.9127830689022574,20260907-214138-ca6ddd,20260907-214120-8afd71
qwen25_14b_32b,262144,8,09,m128n256k64e32,16,1.9334880113601685,1.9127839803695679,1.2439599685275549,1.257424628417944,1.0108240298973021,1.0824029897302134,20260907-213123-fb9870,20260907-213147-99bd76
qwen25_14b_32b,524288,4,09,m128n256k64e32,16,8.001327753067017,8.003360271453857,1.2023912830407737,1.2020859260022214,0.9997460418726756,-0.025395812732442735,20260907-221014-3e4747,20260907-220956-3eaf20
qwen25_14b_32b,524288,8,09,m128n256k64e32,16,3.9074079990386963,3.828655958175659,1.231088069815962,1.2564104542347339,1.020569108774287,2.056910877428697,20260907-213234-cebefa,20260907-213211-32ecc9
llama31_405b,1024,4,09,m128n256k64e32,32,0.215999998152256,0.2163199931383133,0.7158278887901235,0.7147689883529995,0.9985207331906086,-0.14792668093913663,20260907-215430-153672,20260907-215446-ecec96
llama31_405b,1024,8,09,m128n256k64e32,24,0.13867200165987015,0.13897600024938583,0.5574983443133807,0.5562788624602228,0.9978125821079167,-0.2187417892083321,20260907-215525-96a038,20260907-215502-4a76be
llama31_405b,4096,4,0a,m128n256k64e32,16,0.5232319831848145,0.5234880149364471,1.1820288332900781,1.1814507170695867,0.9995109119133057,-0.04890880866943448,20260907-220900-6c329a,20260907-220846-48b2d6
llama31_405b,4096,8,09,m128n256k64e32,12,0.3083200007677078,0.3056800067424774,1.0029762731642686,1.0116384404967633,1.008636462859851,0.863646285985098,20260907-214428-c408d6,20260907-214405-78bb25
llama31_405b,16384,4,0a,m128n256k64e32,12,1.9022080302238464,1.9037439823150635,1.300541856194813,1.2994925712057102,0.9991931939874871,-0.08068060125129284,20260907-215113-7b9380,20260907-215127-6dc730
llama31_405b,16384,8,0a,m128n256k64e32,16,0.9699839949607849,0.9684000015258789,1.275227826102438,1.2773136919650703,1.001635680950444,0.1635680950444085,20260907-215204-57cf55,20260907-215141-e363b4
