model,suite,aliases,global_seq,cp,m,n,k,native_max_context,beyond_native_context,result_source,launch,timing,timed_boundary,correctness_scope,self_pack_mismatches,remote_recv_mismatches,post_graph_max_abs,comm_sm,streams,push,use_ce,pack_block,pack_warps,reverse,math_sm,p50_ms,p95_ms,p50_tflops_per_gpu
llama3_8b,model,Llama 3/3.1 8B,524288,8,65536,4096,4096,,False,legacy_golden_10w50i,graph,per_sample_local_cuda_event_then_dist_max,pack+userbuffers_send_recv+all_gemm_accumulations,legacy_exact,0,0,,8,1,True,False,1024,4,False,124,4.193040132522583,4.253660941123963,524.4460310540937
qwen25_14b_32b,model,Qwen2.5 14B/32B,1024,4,256,5120,5120,,False,legacy_golden_10w50i,graph,per_sample_local_cuda_event_then_dist_max,pack+userbuffers_send_recv+all_gemm_accumulations,legacy_exact,0,0,,8,1,True,False,512,4,False,124,0.04841599985957146,0.0508992001414299,277.217713956735
qwen25_14b_32b,model,Qwen2.5 14B/32B,1024,8,128,5120,5120,,False,legacy_golden_10w50i,graph,per_sample_local_cuda_event_then_dist_max,pack+userbuffers_send_recv+all_gemm_accumulations,legacy_exact,0,0,,8,1,True,False,512,4,True,124,0.06361600011587143,0.0661040000617504,105.49054306741479
qwen25_14b_32b,model,Qwen2.5 14B/32B,4096,4,1024,5120,5120,,False,legacy_golden_10w50i,graph,per_sample_local_cuda_event_then_dist_max,pack+userbuffers_send_recv+all_gemm_accumulations,legacy_exact,0,0,,12,1,True,True,512,4,False,120,0.10630399733781815,0.11198239848017691,505.033606867957
qwen25_14b_32b,model,Qwen2.5 14B/32B,4096,8,512,5120,5120,,False,legacy_golden_10w50i,graph,per_sample_local_cuda_event_then_dist_max,pack+userbuffers_send_recv+all_gemm_accumulations,legacy_exact,0,0,,12,1,True,True,512,4,False,120,0.1292639970779419,0.1371439978480339,207.66451762909847
qwen25_14b_32b,model,Qwen2.5 14B/32B,16384,4,4096,5120,5120,,False,legacy_golden_10w50i,graph,per_sample_local_cuda_event_then_dist_max,pack+userbuffers_send_recv+all_gemm_accumulations,legacy_exact,0,0,,8,1,True,True,512,4,False,124,0.3604799956083298,0.3908784061670303,595.7289375728058
qwen25_14b_32b,model,Qwen2.5 14B/32B,16384,8,2048,5120,5120,,False,legacy_golden_10w50i,graph,per_sample_local_cuda_event_then_dist_max,pack+userbuffers_send_recv+all_gemm_accumulations,legacy_exact,0,0,,4,1,True,False,1024,4,False,128,0.2799680083990097,0.28334079682826996,383.5230425576718
qwen25_14b_32b,model,Qwen2.5 14B/32B,131072,4,32768,5120,5120,,False,legacy_golden_10w50i,graph,per_sample_local_cuda_event_then_dist_max,pack+userbuffers_send_recv+all_gemm_accumulations,legacy_exact,0,0,,8,1,True,True,512,4,False,124,2.7995519638061523,2.838547241687775,613.6649508960347
qwen25_14b_32b,model,Qwen2.5 14B/32B,131072,8,16384,5120,5120,,False,legacy_golden_10w50i,graph,per_sample_local_cuda_event_then_dist_max,pack+userbuffers_send_recv+all_gemm_accumulations,legacy_exact,0,0,,12,1,True,False,1024,4,False,120,1.5952479839324951,1.614467203617096,538.4701738236764
qwen25_14b_32b,model,Qwen2.5 14B/32B,262144,4,65536,5120,5120,,False,legacy_golden_10w50i,graph,per_sample_local_cuda_event_then_dist_max,pack+userbuffers_send_recv+all_gemm_accumulations,legacy_exact,0,0,,8,1,True,False,512,4,False,124,5.719760179519653,5.797926449775696,600.7199128912698
qwen25_14b_32b,model,Qwen2.5 14B/32B,262144,8,32768,5120,5120,,False,legacy_golden_10w50i,graph,per_sample_local_cuda_event_then_dist_max,pack+userbuffers_send_recv+all_gemm_accumulations,legacy_exact,0,0,,12,1,True,False,1024,4,False,120,3.012735962867737,3.0760112047195434,570.241448163515
qwen25_14b_32b,model,Qwen2.5 14B/32B,524288,4,131072,5120,5120,,False,legacy_golden_10w50i,graph,per_sample_local_cuda_event_then_dist_max,pack+userbuffers_send_recv+all_gemm_accumulations,legacy_exact,0,0,,8,1,True,False,1024,4,False,124,11.256192207336426,11.372284889221191,610.5037606874805
qwen25_14b_32b,model,Qwen2.5 14B/32B,524288,8,65536,5120,5120,,False,legacy_golden_10w50i,graph,per_sample_local_cuda_event_then_dist_max,pack+userbuffers_send_recv+all_gemm_accumulations,legacy_exact,0,0,,12,1,True,True,512,4,False,120,6.004479885101318,6.149176025390625,572.235048255478
