model,suite,aliases,global_seq,cp,m,n,k,q_heads,kv_heads,head_dim,precision,accumulator,output,quantization_in_timing,requested_comm_ctas,comm_ctas,tile_m,tile_n,tile_k,cluster_m,qkv_policy_model,launch,graph_epoch_mode,warmup,iterations,process_model,timing,correctness,fp8_graph_p50_ms,fp8_graph_p95_ms,fp8_graph_tflops_per_gpu,bf16_graph_p50_ms,fp8_speedup_over_bf16_graph,reaches_1_5x
llama31_405b,model,Llama 3.1 405B,1024,8,128,18432,16384,128,8,128,fp8_e4m3,fp32,fp8_e4m3,False,0,16,128,64,128,1,fp8_joint_tile_comm_signaling_wave_v4,graph,single_replay_monotonic_epoch_nodes,10,50,one_mpi_process_per_gpu,per_sample_max_rank_cuda_event,fused_vs_separated_reference,0.1317120045,0.134750396,586.9579741154117,0.1809120029,1.3735422491425222,False
llama31_405b,model,Llama 3.1 405B,4096,4,1024,18432,16384,128,8,128,fp8_e4m3,fp32,fp8_e4m3,False,0,16,128,256,128,2,fp8_joint_tile_comm_signaling_wave_v4,graph,single_replay_monotonic_epoch_nodes,10,50,one_mpi_process_per_gpu,per_sample_max_rank_cuda_event,not_run,0.479903996,0.5034080148,1288.747949129392,0.8827040195,1.8393345895373623,True
llama31_405b,model,Llama 3.1 405B,4096,8,512,18432,16384,128,8,128,fp8_e4m3,fp32,fp8_e4m3,False,0,16,128,256,128,2,fp8_joint_tile_comm_signaling_wave_v4,graph,single_replay_monotonic_epoch_nodes,10,50,one_mpi_process_per_gpu,per_sample_max_rank_cuda_event,not_run,0.33870399,0.3412800133,913.0026643973105,0.5501760244,1.624356490161217,True
llama31_405b,model,Llama 3.1 405B,16384,4,4096,18432,16384,128,8,128,fp8_e4m3,fp32,fp8_e4m3,False,0,4,128,256,128,2,fp8_joint_tile_comm_signaling_wave_v4,graph,single_replay_monotonic_epoch_nodes,10,50,one_mpi_process_per_gpu,per_sample_max_rank_cuda_event,not_run,2.092976093,2.119923115,1182.00163430916,3.684656143,1.7604864935263265,True
llama31_405b,model,Llama 3.1 405B,16384,8,2048,18432,16384,128,8,128,fp8_e4m3,fp32,fp8_e4m3,False,0,4,128,256,128,2,fp8_joint_tile_comm_signaling_wave_v4,graph,single_replay_monotonic_epoch_nodes,10,50,one_mpi_process_per_gpu,per_sample_max_rank_cuda_event,not_run,1.003823996,1.053167939,1232.238506129515,1.890735984,1.883533359965625,True
llama31_405b,model,Llama 3.1 405B,131072,4,32768,18432,16384,128,8,128,fp8_e4m3,fp32,fp8_e4m3,False,0,4,128,256,128,2,fp8_joint_tile_comm_signaling_wave_v4,graph,single_replay_monotonic_epoch_nodes,10,50,one_mpi_process_per_gpu,per_sample_max_rank_cuda_event,not_run,16.77062416,25.79748154,1180.111670928293,30.18380737,1.799802266274149,True
llama31_405b,model,Llama 3.1 405B,131072,8,16384,18432,16384,128,8,128,fp8_e4m3,fp32,fp8_e4m3,False,0,4,128,256,128,2,fp8_joint_tile_comm_signaling_wave_v4,graph,single_replay_monotonic_epoch_nodes,10,50,one_mpi_process_per_gpu,per_sample_max_rank_cuda_event,not_run,8.359712601,8.540675163,1183.7254607054645,14.84148788,1.7753586263509396,True
llama31_405b,model,Llama 3.1 405B,262144,4,65536,18432,16384,128,8,128,fp8_e4m3,fp32,fp8_e4m3,False,0,4,128,256,128,2,fp8_joint_tile_comm_signaling_wave_v4,graph,single_replay_monotonic_epoch_nodes,10,50,one_mpi_process_per_gpu,per_sample_max_rank_cuda_event,not_run,34.05184174,43.0936203,1162.4163797707115,61.57086182,1.8081507100297007,True
llama31_405b,model,Llama 3.1 405B,262144,8,32768,18432,16384,128,8,128,fp8_e4m3,fp32,fp8_e4m3,False,0,4,128,256,128,2,fp8_joint_tile_comm_signaling_wave_v4,graph,single_replay_monotonic_epoch_nodes,10,50,one_mpi_process_per_gpu,per_sample_max_rank_cuda_event,not_run,16.98980713,27.13559151,1164.8872261193233,30.35835266,1.7868568152486144,True
llama31_405b,model,Llama 3.1 405B,524288,4,131072,18432,16384,128,8,128,fp8_e4m3,fp32,fp8_e4m3,False,0,4,128,256,128,2,fp8_joint_tile_comm_signaling_wave_v4,graph,single_replay_monotonic_epoch_nodes,10,50,one_mpi_process_per_gpu,per_sample_max_rank_cuda_event,not_run,70.99432373,79.54096222,1115.0868554075598,125.4733887,1.76737212368119,True
llama31_405b,model,Llama 3.1 405B,524288,8,65536,18432,16384,128,8,128,fp8_e4m3,fp32,fp8_e4m3,False,0,4,128,256,128,2,fp8_joint_tile_comm_signaling_wave_v4,graph,single_replay_monotonic_epoch_nodes,10,50,one_mpi_process_per_gpu,per_sample_max_rank_cuda_event,not_run,34.31066895,45.23748779,1153.6475332969574,61.36243439,1.7884359666499594,True
llama3_8b,model,Llama 3/3.1 8B,1024,4,256,6144,4096,32,8,128,fp8_e4m3,fp32,fp8_e4m3,False,0,16,128,64,128,1,fp8_joint_tile_comm_signaling_wave_v4,graph,single_replay_monotonic_epoch_nodes,10,50,one_mpi_process_per_gpu,per_sample_max_rank_cuda_event,fused_vs_separated_reference,0.0266239997,0.02711039968,483.95815929940835,0.04286399856,1.609975925593178,True
llama3_8b,model,Llama 3/3.1 8B,1024,8,128,6144,4096,32,8,128,fp8_e4m3,fp32,fp8_e4m3,False,0,16,128,64,128,1,fp8_joint_tile_comm_signaling_wave_v4,graph,single_replay_monotonic_epoch_nodes,10,50,one_mpi_process_per_gpu,per_sample_max_rank_cuda_event,fused_vs_separated_reference,0.02408000082,0.02462879941,267.54363474311543,0.03536000103,1.4684385309750998,False
