model,suite,aliases,global_seq,cp,m,n,k,q_heads,kv_heads,head_dim,max_context,within_native_context,comm_ctas,tile_m,tile_n,tile_k,fused_p50_ms,fused_p95_ms,fused_p50_tflops_per_gpu,fused_throughput_as_best_pure_percent,cublas_p50_ms,cublaslt_p50_ms,cutlass_p50_ms,compute_subgrid_p50_ms,qkv_route_p50_ms,sequential_p50_ms,overlap_ratio
nanbeige42_3b,model,Nanbeige/Nanbeige4.2-3B,262144,4,65536,8192,3072,48,8,128,262144,True,32,128,256,64,5.677519798,5.803987026,580.981661127798,73.68541641147088,4.314383984,4.183504105,4.758783817,5.795663834,2.47991991,6.476176262,0.6257242149
nanbeige42_3b,model,Nanbeige/Nanbeige4.2-3B,262144,8,32768,8192,3072,48,8,128,262144,True,32,128,256,64,3.337520123,3.368308783,494.1595498700758,73.11057539951797,2.451375961,2.440080166,2.485599995,3.202672005,1.613808036,3.937168121,0.4671338579
nanbeige42_3b,model,Nanbeige/Nanbeige4.2-3B,524288,4,131072,8192,3072,48,8,128,262144,False,32,128,256,64,11.24796867,11.28713799,586.5121036700043,74.12424595595891,8.783472061,8.337471962,9.405344009,10.97345543,4.93030405,12.93587208,0.6298062722
nanbeige42_3b,model,Nanbeige/Nanbeige4.2-3B,524288,8,65536,8192,3072,48,8,128,262144,False,32,128,256,64,6.569839954,6.607079983,502.07233455051073,73.0552934866821,4.79961586,4.802927971,4.885935783,6.396927834,3.250159979,7.783631802,0.4947845253
llama3_8b,model,Llama 3/3.1 8B,1024,4,256,6144,4096,32,8,128,,True,24,128,128,64,0.07420799881,0.0765184015,173.63225116729166,39.09012714959643,0.02975999936,0.02900800109,0.03105599992,0.0312319994,0.01772800088,0.04369600117,-1.424684233
llama3_8b,model,Llama 3/3.1 8B,1024,8,128,6144,4096,32,8,128,,True,24,128,128,64,0.1228799969,0.1288096011,52.4288013226667,19.97395934992899,0.02537599951,0.02454400063,0.03647999838,0.03654399887,0.01750399917,0.04681599885,-3.856292811
llama3_8b,model,Llama 3/3.1 8B,4096,4,1024,6144,4096,32,8,128,,True,24,128,128,64,0.1450559944,0.1479663998,355.3083605071615,49.47055038767843,0.07260800153,0.0717599988,0.08604799956,0.1015840024,0.03945599869,0.122480005,-0.4900822996
llama3_8b,model,Llama 3/3.1 8B,4096,8,512,6144,4096,32,8,128,,True,24,128,128,64,0.1518079937,0.1552352011,169.7526141273284,33.62141871847951,0.05273599923,0.05104000121,0.06281600147,0.06291200221,0.03139200062,0.08822400123,-1.793409691
llama3_8b,model,Llama 3/3.1 8B,16384,4,4096,6144,4096,32,8,128,,True,32,128,256,64,0.3924639821,0.398963213,525.292611833793,65.00469363708268,0.270096004,0.2551200092,0.2686560154,0.3495360017,0.1239520013,0.3873600066,-0.002049200255
llama3_8b,model,Llama 3/3.1 8B,16384,8,2048,6144,4096,32,8,128,,True,24,128,256,64,0.3131039739,0.3168768287,329.2172048155535,55.07691491487646,0.1743519902,0.1733599901,0.1724480093,0.2200639993,0.08617600054,0.2525919974,-0.6162544415
llama3_8b,model,Llama 3/3.1 8B,131072,4,32768,6144,4096,32,8,128,,True,32,128,256,64,2.783567905,2.790683031,592.5012422730891,76.67166876606159,2.134207964,2.149312019,2.457039833,2.613856077,0.9317439795,2.893551826,0.6661160577
llama3_8b,model,Llama 3/3.1 8B,131072,8,16384,6144,4096,32,8,128,,True,32,128,256,64,1.715120077,1.739540815,480.8023250910846,70.82792180503407,1.214783907,1.216784,1.25070405,1.586272001,0.6042079926,1.821375966,0.2298028065
