models,ep,h,f,experts,topk,target_rows,copy_method,status,fused_pflops,fused_ms,reference_backend,reference_pflops,reference_ms,strong_retention_pct,matched_gemm_pflops,matched_gemm_ms,transport_ms,ideal_overlap_ms,overlap_attainment_pct,ideal_strong_retention_pct,v25_1_gain_pct,tile_n,tile_k,along_n,swizzle,comm,compute,run,case_index
mimo_v2_flash;mimo_v25,8,4096,2048,256,8,32,cp.async,valid,0.139728262157559,0.2459039985,deepgemm_m128,0.18849150054165525,0.1822879985,74.12974153000607,0.176471658262538,0.1947040035,0.0451840013,0.1947040035,79.17886845585393,93.62313831415388,8.75138128345645,256,64,0,4,40,108,20260921-092807-f797f6,6
mimo_v2_flash;mimo_v25,8,4096,2048,256,8,64,cp.async,valid,0.26404568868981826,0.2602560075,deepgemm_m128,0.37881172285736464,0.18140799924999998,69.7036740832966,0.3495964504670997,0.19656800475000002,0.0697600022,0.19656800475000002,75.52870984159703,92.28765356840198,17.272219931368937,256,64,0,4,40,108,20260921-092807-f797f6,7
mimo_v2_flash;mimo_v25,8,4096,2048,256,8,96,cp.async,valid,0.37109823569634287,0.277768001,deepgemm_m128,0.5712152236001073,0.18045600125,64.96644703505643,0.518444530004482,0.19882399975,0.09425600245,0.19882399975,71.57915923872024,90.7616794134029,23.150255345647253,256,64,0,4,40,108,20260921-092807-f797f6,8
mimo_v2_flash;mimo_v25,8,4096,2048,256,8,128,cp.async,valid,0.46739039809203964,0.2940560055,deepgemm_m128,0.7574898260588481,0.18143999924999998,61.70253144175285,0.677439653288635,0.202879995,0.11722400024999999,0.202879995,68.99365808055228,89.43217849054066,28.527894493214156,256,64,0,4,40,108,20260921-092807-f797f6,9
mimo_v2_flash;mimo_v25,8,4096,2048,256,8,192,tma,valid,0.4542455363114855,0.4538480045,deepgemm_m256,0.9959344358267203,0.20700000200000002,45.60998394783071,0.6915097675643083,0.298128009,0.1106,0.298128009,65.68895446140493,69.43326213941877,1.0858260807886655,256,64,0,4,40,108,20260921-092807-f797f6,10
mimo_v2_flash;mimo_v25,8,4096,2048,256,8,256,tma,valid,0.6952597931273233,0.395359993,deepgemm_m256,1.3271944791340748,0.20711200300000002,52.38567550257925,0.8814031663806546,0.31186398849999997,0.1291280015,0.31186398849999997,78.88101831790551,66.41100307738803,0.18413686586644662,256,64,0,4,40,108,20260921-092807-f797f6,11
mimo_v2_flash;mimo_v25,8,4096,2048,256,8,384,tma,valid,0.8002796225621047,0.515215993,deepgemm_m128,1.4276503979565969,0.288808003,56.055713899393645,0.9679890186688217,0.425952002,0.17204000074999998,0.425952002,82.67445261544898,67.80294531870751,-0.3943971125911827,256,64,0,2,40,108,20260921-092807-f797f6,12
mimo_v2_flash;mimo_v25,8,4096,2048,256,8,512,tma,valid,0.8871952019819261,0.61965598175,deepgemm_m256,1.599727111666633,0.343655996,55.45915897228406,1.043259096262279,0.5269600004999999,0.2140799985,0.5269600004999999,85.04073486255825,65.21481624296455,-0.5073752763785078,256,64,0,2,40,108,20260921-092807-f797f6,13
mimo_v2_flash;mimo_v25,8,4096,2048,256,8,1024,tma,valid,1.0081490894119165,1.0906240349999998,deepgemm_m256,1.6828366391754677,0.653368011,59.90772163754855,1.118417367539076,0.9830959887499999,0.40346400425,0.9830959887499999,90.140686176057,66.46024584341485,-0.27654121889951755,256,64,0,2,40,108,20260921-092807-f797f6,14
mimo_v2_flash;mimo_v25,8,4096,2048,256,8,2048,tma,valid,1.1043353882188671,1.9912639575,deepgemm_m256,1.465319957834748,1.5007120075,75.36479540282143,1.216677697665415,1.8073999875,0.777735993,1.8073999875,90.76646924143405,83.03153800370379,0.057454964505887496,256,64,0,2,40,108,20260921-092807-f797f6,15
mimo_v2_flash;mimo_v25,8,4096,2048,256,8,4096,tma,valid,1.0608684265152426,4.14570403,deepgemm_m256,1.440150413083482,3.0538799775000003,73.66372407197626,1.239668572025004,3.54775995,1.4941280199999998,3.54775995,85.57677837894279,86.0791040132239,-1.0356737284981432,256,64,0,2,40,108,20260921-092807-f797f6,16
mimo_v2_flash;mimo_v25,8,4096,2048,256,8,8192,tma,valid,1.0385556872618076,8.469543935,deepgemm_m256,1.4034532886924018,6.2674640425,74.00001807181133,1.1243565412962517,7.82322395,2.896423935,7.82322395,92.36889270590932,80.1135706015421,-0.3733830326957399,256,64,0,2,40,108,20260921-092807-f797f6,17
mimo_v25_pro,4,6144,2048,384,8,1,cp.async,valid,0.005999063950799811,0.805432022,cutlass_stock,0.006758950139309396,0.71487999,88.75733401123702,0.006299067438770467,0.767071992,0.09732799980000001,0.767071992,95.2373348771574,93.19594476863654,7.30738018757342,256,64,1,8,40,108,20260921-091730-70b6a7,18
mimo_v25_pro,4,6144,2048,384,8,8,cp.async,valid,0.047127010244834434,0.8202240172499999,cutlass_stock,0.053687091274565404,0.719999999,87.78089690838056,0.050267766815409405,0.76897598825,0.131183997,0.76897598825,93.75194728242397,93.63101189135212,6.876166701274444,256,64,1,8,40,108,20260921-091730-70b6a7,19
mimo_v25_pro,4,6144,2048,384,8,16,cp.async,valid,0.09261895260663969,0.834704012,cutlass_stock,0.10632276652954865,0.7271200125,87.11111987562845,0.0989562994163083,0.78124800325,0.156808,0.78124800325,93.59581264957427,93.0715994761168,8.231897716097247,256,64,1,8,40,108,20260921-091730-70b6a7,20
mimo_v25_pro,4,6144,2048,384,8,32,cp.async,valid,0.18436325008141125,0.83866401025,cutlass_stock,0.21058808271862361,0.7342239915,87.54685816089005,0.1983900070990598,0.7793679979999999,0.159847997,0.7793679979999999,92.92970587442707,94.20761352585073,11.00702928965347,256,64,1,8,40,108,20260921-091730-70b6a7,21
mimo_v25_pro,4,6144,2048,384,8,64,cp.async,valid,0.35772183146088204,0.8644640000000001,cutlass_stock,0.41369805535911564,0.747496009,86.46930456329007,0.390593613185934,0.7917119862499999,0.25305600500000003,0.7917119862499999,91.58414766259784,94.41514363582746,16.110794665827612,256,64,1,8,40,108,20260921-091730-70b6a7,22
mimo_v25_pro,4,6144,2048,384,8,96,cp.async,valid,0.515932634281112,0.8990640194999999,deepgemm_m128,0.6145878110957498,0.75474400825,83.94774920141269,0.5761161496560059,0.80514401175,0.34815999875000003,0.80514401175,89.55357953238614,93.74024984791795,20.04929449854378,256,64,1,8,40,108,20260921-091730-70b6a7,23
mimo_v25_pro,4,6144,2048,384,8,128,cp.async,valid,0.6673752100154396,0.9267279955000001,deepgemm_m128,0.8206246937466919,0.75366400175,81.32526538635251,0.7548420200260351,0.819344014,0.452664003,0.819344014,88.41256743926648,91.9838296090853,21.840279238656034,256,64,1,8,40,108,20260921-091730-70b6a7,24
mimo_v25_pro,4,6144,2048,384,8,192,tma,valid,0.5398676814146268,1.7184079875,deepgemm_m256,1.0633349445905487,0.8724559845,50.77117837244689,0.755186120489686,1.2284560199999999,0.330959998,1.2284560199999999,71.48803013812805,71.02053067394306,0.05493573161128307,256,64,1,8,40,108,20260921-091730-70b6a7,25
mimo_v25_pro,4,6144,2048,384,8,256,tma,valid,0.8763848214945967,1.4114240125,deepgemm_m128,1.2925509550701229,0.9569839985,67.80272901868318,0.9656916517854007,1.2808960075,0.4117439985,1.2808960075,90.75203455205492,74.71207599185213,-0.3004063599917006,256,64,1,8,40,108,20260921-091730-70b6a7,26
mimo_v25_pro,4,6144,2048,384,8,384,tma,valid,0.9500583146213311,1.9529599850000001,deepgemm_m128,1.3720641324788203,1.3522880075,69.24299616410215,1.0389141611828685,1.7859279824999998,0.5852879879999999,1.7859279824999998,91.44723886905443,75.71906710409586,-1.210468989716662,256,64,0,2,40,108,20260921-091730-70b6a7,27
