id,m,n,k,operand_layout,p50_ms,p95_ms,pflops,algorithm,tile,split_k,workspace_bytes,sms,half_drift,run_id,source_id,library_sha256
"representative_medium.oproj.dgrad.s16384.cp8",2048,5120,5120,"nn",0.08724800124764442,0.0891232006251812,1.2306778477965301,66,32,1,0,148,0.01797180985836442,"20260910-144936-dacb6f","1d05d5c6ecc0f88b6fe667e3fe234908666fe1378f6f526e53449196a4d5f761","fc257ced4151346f3eab61fe5e56dbd8ba9fee301c741c7872e59d10148bfe28"
"qwen25_14b_32b.oproj.dgrad.s16384.cp8",2048,5120,5120,"nn",0.08724800124764442,0.0891232006251812,1.2306778477965301,66,32,1,0,148,0.01797180985836442,"20260910-144936-dacb6f","1d05d5c6ecc0f88b6fe667e3fe234908666fe1378f6f526e53449196a4d5f761","fc257ced4151346f3eab61fe5e56dbd8ba9fee301c741c7872e59d10148bfe28"
"artificial_medium.qkv.dgrad.s65536.cp4",16384,5120,5120,"nn",0.6013599932193756,0.6082607984542847,1.4284180339323636,66,513,1,0,148,0.00218175045827712,"20260910-144936-dacb6f","1d05d5c6ecc0f88b6fe667e3fe234908666fe1378f6f526e53449196a4d5f761","fc257ced4151346f3eab61fe5e56dbd8ba9fee301c741c7872e59d10148bfe28"
"artificial_medium.qkv.dgrad.s131072.cp8",16384,5120,5120,"nn",0.6013599932193756,0.6082607984542847,1.4284180339323636,66,513,1,0,148,0.00218175045827712,"20260910-144936-dacb6f","1d05d5c6ecc0f88b6fe667e3fe234908666fe1378f6f526e53449196a4d5f761","fc257ced4151346f3eab61fe5e56dbd8ba9fee301c741c7872e59d10148bfe28"
"representative_medium.oproj.dgrad.s65536.cp4",16384,5120,5120,"nn",0.6013599932193756,0.6082607984542847,1.4284180339323636,66,513,1,0,148,0.00218175045827712,"20260910-144936-dacb6f","1d05d5c6ecc0f88b6fe667e3fe234908666fe1378f6f526e53449196a4d5f761","fc257ced4151346f3eab61fe5e56dbd8ba9fee301c741c7872e59d10148bfe28"
"representative_medium.oproj.dgrad.s131072.cp8",16384,5120,5120,"nn",0.6013599932193756,0.6082607984542847,1.4284180339323636,66,513,1,0,148,0.00218175045827712,"20260910-144936-dacb6f","1d05d5c6ecc0f88b6fe667e3fe234908666fe1378f6f526e53449196a4d5f761","fc257ced4151346f3eab61fe5e56dbd8ba9fee301c741c7872e59d10148bfe28"
"qwen25_14b_32b.oproj.dgrad.s65536.cp4",16384,5120,5120,"nn",0.6013599932193756,0.6082607984542847,1.4284180339323636,66,513,1,0,148,0.00218175045827712,"20260910-144936-dacb6f","1d05d5c6ecc0f88b6fe667e3fe234908666fe1378f6f526e53449196a4d5f761","fc257ced4151346f3eab61fe5e56dbd8ba9fee301c741c7872e59d10148bfe28"
"qwen25_14b_32b.oproj.dgrad.s131072.cp8",16384,5120,5120,"nn",0.6013599932193756,0.6082607984542847,1.4284180339323636,66,513,1,0,148,0.00218175045827712,"20260910-144936-dacb6f","1d05d5c6ecc0f88b6fe667e3fe234908666fe1378f6f526e53449196a4d5f761","fc257ced4151346f3eab61fe5e56dbd8ba9fee301c741c7872e59d10148bfe28"
"artificial_medium.qkv.dgrad.s65536.cp8",8192,5120,5120,"nn",0.3118720054626465,0.3193104133009911,1.377157045445176,66,23,1,0,148,0.02431768629891307,"20260910-144936-dacb6f","1d05d5c6ecc0f88b6fe667e3fe234908666fe1378f6f526e53449196a4d5f761","fc257ced4151346f3eab61fe5e56dbd8ba9fee301c741c7872e59d10148bfe28"
"representative_medium.oproj.dgrad.s65536.cp8",8192,5120,5120,"nn",0.3118720054626465,0.3193104133009911,1.377157045445176,66,23,1,0,148,0.02431768629891307,"20260910-144936-dacb6f","1d05d5c6ecc0f88b6fe667e3fe234908666fe1378f6f526e53449196a4d5f761","fc257ced4151346f3eab61fe5e56dbd8ba9fee301c741c7872e59d10148bfe28"
"qwen25_14b_32b.oproj.dgrad.s65536.cp8",8192,5120,5120,"nn",0.3118720054626465,0.3193104133009911,1.377157045445176,66,23,1,0,148,0.02431768629891307,"20260910-144936-dacb6f","1d05d5c6ecc0f88b6fe667e3fe234908666fe1378f6f526e53449196a4d5f761","fc257ced4151346f3eab61fe5e56dbd8ba9fee301c741c7872e59d10148bfe28"
"artificial_medium.qkv.dgrad.s131072.cp4",32768,5120,5120,"nn",1.1739200353622437,1.17995845079422,1.4634616214467029,66,23,1,0,148,0.011994043191431781,"20260910-144936-dacb6f","1d05d5c6ecc0f88b6fe667e3fe234908666fe1378f6f526e53449196a4d5f761","fc257ced4151346f3eab61fe5e56dbd8ba9fee301c741c7872e59d10148bfe28"
"artificial_medium.qkv.dgrad.s262144.cp8",32768,5120,5120,"nn",1.1739200353622437,1.17995845079422,1.4634616214467029,66,23,1,0,148,0.011994043191431781,"20260910-144936-dacb6f","1d05d5c6ecc0f88b6fe667e3fe234908666fe1378f6f526e53449196a4d5f761","fc257ced4151346f3eab61fe5e56dbd8ba9fee301c741c7872e59d10148bfe28"
"representative_medium.oproj.dgrad.s131072.cp4",32768,5120,5120,"nn",1.1739200353622437,1.17995845079422,1.4634616214467029,66,23,1,0,148,0.011994043191431781,"20260910-144936-dacb6f","1d05d5c6ecc0f88b6fe667e3fe234908666fe1378f6f526e53449196a4d5f761","fc257ced4151346f3eab61fe5e56dbd8ba9fee301c741c7872e59d10148bfe28"
"representative_medium.oproj.dgrad.s262144.cp8",32768,5120,5120,"nn",1.1739200353622437,1.17995845079422,1.4634616214467029,66,23,1,0,148,0.011994043191431781,"20260910-144936-dacb6f","1d05d5c6ecc0f88b6fe667e3fe234908666fe1378f6f526e53449196a4d5f761","fc257ced4151346f3eab61fe5e56dbd8ba9fee301c741c7872e59d10148bfe28"
"qwen25_14b_32b.oproj.dgrad.s131072.cp4",32768,5120,5120,"nn",1.1739200353622437,1.17995845079422,1.4634616214467029,66,23,1,0,148,0.011994043191431781,"20260910-144936-dacb6f","1d05d5c6ecc0f88b6fe667e3fe234908666fe1378f6f526e53449196a4d5f761","fc257ced4151346f3eab61fe5e56dbd8ba9fee301c741c7872e59d10148bfe28"
"qwen25_14b_32b.oproj.dgrad.s262144.cp8",32768,5120,5120,"nn",1.1739200353622437,1.17995845079422,1.4634616214467029,66,23,1,0,148,0.011994043191431781,"20260910-144936-dacb6f","1d05d5c6ecc0f88b6fe667e3fe234908666fe1378f6f526e53449196a4d5f761","fc257ced4151346f3eab61fe5e56dbd8ba9fee301c741c7872e59d10148bfe28"
"artificial_medium.qkv.dgrad.s262144.cp4",65536,5120,5120,"nn",2.3562721014022827,2.3777535915374757,1.4582245551161754,66,23,1,0,148,0.005649645198537699,"20260910-144936-dacb6f","1d05d5c6ecc0f88b6fe667e3fe234908666fe1378f6f526e53449196a4d5f761","fc257ced4151346f3eab61fe5e56dbd8ba9fee301c741c7872e59d10148bfe28"
"artificial_medium.qkv.dgrad.s524288.cp8",65536,5120,5120,"nn",2.3562721014022827,2.3777535915374757,1.4582245551161754,66,23,1,0,148,0.005649645198537699,"20260910-144936-dacb6f","1d05d5c6ecc0f88b6fe667e3fe234908666fe1378f6f526e53449196a4d5f761","fc257ced4151346f3eab61fe5e56dbd8ba9fee301c741c7872e59d10148bfe28"
"representative_medium.oproj.dgrad.s262144.cp4",65536,5120,5120,"nn",2.3562721014022827,2.3777535915374757,1.4582245551161754,66,23,1,0,148,0.005649645198537699,"20260910-144936-dacb6f","1d05d5c6ecc0f88b6fe667e3fe234908666fe1378f6f526e53449196a4d5f761","fc257ced4151346f3eab61fe5e56dbd8ba9fee301c741c7872e59d10148bfe28"
